"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|IT-North","Without sequence","111.19","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|IT-North","Without sequence","115.0","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|IT-North","Without sequence","120.4","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|IT-North","Without sequence","114.72","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|IT-North","Without sequence","112.89","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|IT-North","Without sequence","112.48","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|IT-North","Without sequence","110.73","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|IT-North","Without sequence","112.0","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|IT-North","Without sequence","112.17","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|IT-North","Without sequence","113.85","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|IT-North","Without sequence","120.0","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|IT-North","Without sequence","119.66","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|IT-North","Without sequence","115.81","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|IT-North","Without sequence","111.0","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|IT-North","Without sequence","110.0","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|IT-North","Without sequence","104.84","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|IT-North","Without sequence","86.8","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|IT-North","Without sequence","97.5","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|IT-North","Without sequence","97.67","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|IT-North","Without sequence","93.0","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|IT-North","Without sequence","93.0","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|IT-North","Without sequence","89.7","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|IT-North","Without sequence","89.47","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|IT-North","Without sequence","91.96","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|IT-North","Without sequence","96.75","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|IT-North","Without sequence","94.66","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|IT-North","Without sequence","100.5","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|IT-North","Without sequence","103.46","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|IT-North","Without sequence","103.0","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|IT-North","Without sequence","103.46","",""
