"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"26.09.2021 06:30 - 26.09.2021 06:45","0","0","0","1141","1336","1336","4494","5531","5480"
"26.09.2021 06:45 - 26.09.2021 07:00","0","1","1","1183","1352","1352","4566","5654","5603"
"26.09.2021 07:00 - 26.09.2021 07:15","53","43","31","1219","1432","1432","4606","5742","5693"
"26.09.2021 07:15 - 26.09.2021 07:30","404","375","324","1254","1457","1457","4629","5814","5792"
"26.09.2021 07:30 - 26.09.2021 07:45","875","853","755","1292","1463","1463","4706","5895","5882"
"26.09.2021 07:45 - 26.09.2021 08:00","1597","1594","1399","1327","1523","1529","4727","5888","5916"
"26.09.2021 08:00 - 26.09.2021 08:15","2557","2584","2298","1355","1548","1529","4692","5841","5861"
"26.09.2021 08:15 - 26.09.2021 08:30","3716","3786","3288","1384","1568","1512","4583","5724","5834"
"26.09.2021 08:30 - 26.09.2021 08:45","5037","5177","4434","1399","1591","1542","4440","5621","5756"
"26.09.2021 08:45 - 26.09.2021 09:00","6495","6698","5724","1422","1608","1581","4237","5404","5527"
"26.09.2021 09:00 - 26.09.2021 09:15","8005","8227","6993","1435","1629","1629","3985","5124","5206"
"26.09.2021 09:15 - 26.09.2021 09:30","9565","9804","8380","1439","1649","1651","3681","4734","4855"
"26.09.2021 09:30 - 26.09.2021 09:45","11139","11413","9822","1444","1673","1632","3296","4283","4346"
