"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2025 06:00:00 - 11/01/2025 07:00:00","BZN|CH","Without sequence","111.74","",""
"11/01/2025 07:00:00 - 11/01/2025 08:00:00","BZN|CH","Without sequence","114.98","",""
"11/01/2025 08:00:00 - 11/01/2025 09:00:00","BZN|CH","Without sequence","120.3","",""
"11/01/2025 09:00:00 - 11/01/2025 10:00:00","BZN|CH","Without sequence","119.07","",""
"11/01/2025 10:00:00 - 11/01/2025 11:00:00","BZN|CH","Without sequence","114.97","",""
"11/01/2025 11:00:00 - 11/01/2025 12:00:00","BZN|CH","Without sequence","108.97","",""
"11/01/2025 12:00:00 - 11/01/2025 13:00:00","BZN|CH","Without sequence","108.59","",""
"11/01/2025 13:00:00 - 11/01/2025 14:00:00","BZN|CH","Without sequence","108.59","",""
"11/01/2025 14:00:00 - 11/01/2025 15:00:00","BZN|CH","Without sequence","108.59","",""
"11/01/2025 15:00:00 - 11/01/2025 16:00:00","BZN|CH","Without sequence","112.06","",""
"11/01/2025 16:00:00 - 11/01/2025 17:00:00","BZN|CH","Without sequence","119.8","",""
"11/01/2025 17:00:00 - 11/01/2025 18:00:00","BZN|CH","Without sequence","127.69","",""
"11/01/2025 18:00:00 - 11/01/2025 19:00:00","BZN|CH","Without sequence","133.08","",""
"11/01/2025 19:00:00 - 11/01/2025 20:00:00","BZN|CH","Without sequence","132.89","",""
"11/01/2025 20:00:00 - 11/01/2025 21:00:00","BZN|CH","Without sequence","127.1","",""
"11/01/2025 21:00:00 - 11/01/2025 22:00:00","BZN|CH","Without sequence","123.02","",""
"11/01/2025 22:00:00 - 11/01/2025 23:00:00","BZN|CH","Without sequence","121.2","",""
"11/01/2025 23:00:00 - 12/01/2025 00:00:00","BZN|CH","Without sequence","113.3","",""
"12/01/2025 00:00:00 - 12/01/2025 01:00:00","BZN|CH","Without sequence","103.08","",""
"12/01/2025 01:00:00 - 12/01/2025 02:00:00","BZN|CH","Without sequence","97.77","",""
"12/01/2025 02:00:00 - 12/01/2025 03:00:00","BZN|CH","Without sequence","94.34","",""
"12/01/2025 03:00:00 - 12/01/2025 04:00:00","BZN|CH","Without sequence","91.41","",""
"12/01/2025 04:00:00 - 12/01/2025 05:00:00","BZN|CH","Without sequence","90.96","",""
"12/01/2025 05:00:00 - 12/01/2025 06:00:00","BZN|CH","Without sequence","93.3","",""
"12/01/2025 06:00:00 - 12/01/2025 07:00:00","BZN|CH","Without sequence","99.43","",""
"12/01/2025 07:00:00 - 12/01/2025 08:00:00","BZN|CH","Without sequence","103.31","",""
"12/01/2025 08:00:00 - 12/01/2025 09:00:00","BZN|CH","Without sequence","114.14","",""
"12/01/2025 09:00:00 - 12/01/2025 10:00:00","BZN|CH","Without sequence","119.01","",""
"12/01/2025 10:00:00 - 12/01/2025 11:00:00","BZN|CH","Without sequence","116.61","",""
"12/01/2025 11:00:00 - 12/01/2025 12:00:00","BZN|CH","Without sequence","110.0","",""
"12/01/2025 12:00:00 - 12/01/2025 13:00:00","BZN|CH","Without sequence","107.24","",""
"12/01/2025 13:00:00 - 12/01/2025 14:00:00","BZN|CH","Without sequence","106.35","",""
"12/01/2025 14:00:00 - 12/01/2025 15:00:00","BZN|CH","Without sequence","109.59","",""
"12/01/2025 15:00:00 - 12/01/2025 16:00:00","BZN|CH","Without sequence","120.94","",""
"12/01/2025 16:00:00 - 12/01/2025 17:00:00","BZN|CH","Without sequence","130.55","",""
