PV,Wind,Month,Holiday,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Wind on,Wind off,
"
                    2414.96
                  ",27976.05,6,1,False,True,False,False,False,False,False,False,False,False,True,24368.26,3607.79,3288.72
"
                    1564.03
                  ",27644.86,6,1,False,True,False,False,False,False,False,False,False,False,True,23883.94,3760.92,2032.07
"
                    867.84
                  ",27278.48,6,1,False,True,False,False,False,False,False,False,False,False,True,23489.05,3789.43,1034.45
"
                    414.42
                  ",26965.44,6,1,False,True,False,False,False,False,False,False,False,False,True,23162.81,3802.63,415.89
"
                    174.20
                  ",26691.66,6,1,False,True,False,False,False,False,False,False,False,False,True,22922.42,3769.24,141.86
"
                    65.96
                  ",26417.81,6,1,False,True,False,False,False,False,False,False,False,False,True,22678.95,3738.86,50.60
"
                    28.60
                  ",26167.61,6,1,False,True,False,False,False,False,False,False,False,False,True,22461.05,3706.56,0.00
"
                    8.10
                  ",25647.74,6,1,False,True,False,False,False,False,False,False,False,False,True,21955.13,3692.61,0.00
"
                    0.00
                  ",25547.53,6,1,False,True,False,False,False,False,False,False,False,False,True,21842.67,3704.86,0.00
"
                    0.00
                  ",25454.97,6,1,False,True,False,False,False,False,False,False,False,False,True,21739.84,3715.13,0.00
"
                    0.00
                  ",25407.34,6,1,False,True,False,False,False,False,False,False,False,False,True,21684.29,3723.05,0.00
"
                    0.00
                  ",25349.89,6,1,False,True,False,False,False,False,False,False,False,False,True,21615.22,3734.67,0.00
"
                    0.00
                  ",25407.60,6,1,False,True,False,False,False,False,False,False,False,False,True,21589.75,3817.85,0.00
"
                    0.00
                  ",25456.96,6,1,False,True,False,False,False,False,False,False,False,False,True,21568.95,3888.01,0.00
"
                    0.00
                  ",25491.00,6,1,False,True,False,False,False,False,False,False,False,False,True,21534.98,3956.02,0.00
