"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"02.01.2023 05:00 - 02.01.2023 05:15","0","0","0","1049","811","811","22912","24693","24693"
"02.01.2023 05:15 - 02.01.2023 05:30","0","0","0","1074","826","826","23155","25009","25009"
"02.01.2023 05:30 - 02.01.2023 05:45","0","0","0","1113","854","854","23401","25219","25219"
"02.01.2023 05:45 - 02.01.2023 06:00","0","0","0","1159","933","933","23648","25503","25503"
"02.01.2023 06:00 - 02.01.2023 06:15","0","0","0","1192","998","998","24164","26187","26187"
"02.01.2023 06:15 - 02.01.2023 06:30","0","0","0","1231","1024","1024","24415","26414","26414"
"02.01.2023 06:30 - 02.01.2023 06:45","0","0","0","1280","1066","1066","24653","26870","26870"
"02.01.2023 06:45 - 02.01.2023 07:00","0","0","0","1335","1145","1145","24847","26938","26938"
"02.01.2023 07:00 - 02.01.2023 07:15","0","0","0","1391","1178","1178","24919","27258","27258"
"02.01.2023 07:15 - 02.01.2023 07:30","0","0","0","1422","1230","1230","24988","27446","27429"
"02.01.2023 07:30 - 02.01.2023 07:45","0","0","0","1450","1371","1371","25106","27787","27766"
"02.01.2023 07:45 - 02.01.2023 08:00","0","0","0","1486","1477","1430","25243","27878","28194"
"02.01.2023 08:00 - 02.01.2023 08:15","31","18","18","1529","1602","1478","25369","28114","28423"
"02.01.2023 08:15 - 02.01.2023 08:30","144","110","98","1571","1733","1609","25446","28074","28844"
